ZIP,CITY,COUNTY,STATEID,STATE,LAT,LNG,TIMEZONE,MEDIAN_AGE,POPULATION,POPCHANGE#,POPCHANGE%,DENSITY_PER_KM,HOUSING_UNITS,HOMESCHANGE#,HOMESCHANGE%,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,MEDINCCHANGE#,MEDINCCHANGE%,200K_MORE_%,MEAN_HOUSEHOLD_INCOME,PER_CAPITA_INCOME,IN_LABOR_FORCE_%,FERTILITY_RATE_%,VOTING_POPULATION,BELOW_POVERTY_LEVEL_%,EDU_HS_OR_ABOVE_%,EDU_BS_OR_AVOVE_%,M_PER_100_F,AGE_UNDER_18_%,AGE_65_OR_ABOVE_%,RACE_WHITE_%,RACE_BLACK_%,RACE_ASIAN_%,CLUSTER,CLUS_NAME
24701,Bluefield,Mercer,WV,West Virginia,37.30095,-81.20655,America/New_York,44.1,19621,-1216,-0.05835772903968901,124.6,5709,-152,-0.025934140931581643,72100,32199,-1349,-0.04021104089662573,0.7,45485,19779,46.5,6.9,15372,20.9,81.4,18.6,88.3,21.0,19.9,83.9,14.2,0.2,0,"Middle Aged, Unemployed, Uneducated, Low Income"
24740,Princeton,Mercer,WV,West Virginia,37.37643,-81.01879,America/New_York,43.1,30985,-3,-9.681166903317415e-05,73.3,9314,-170,-0.017924926191480388,113300,42786,2094,0.05145974638749631,1.6,56319,24139,51.9,5.0,24586,14.1,86.4,21.2,89.6,20.3,21.4,93.8,2.6,1.1,3,"Older, Employed, Lower Educated, Middle Income"
24747,Rock,Mercer,WV,West Virginia,37.39621,-81.23169,America/New_York,32.7,3357,561,0.20064377682403434,29.2,851,59,0.07449494949494949,67400,28430,-3777,-0.11727264259322508,1.4,45236,15613,35.5,7.7,2397,29.2,73.7,9.9,94.0,28.6,16.4,98.6,0.0,0.0,0,"Middle Aged, Unemployed, Uneducated, Low Income"
24801,Welch,McDowell,WV,West Virginia,37.44262,-81.57762,America/New_York,36.5,5135,322,0.06690214003739871,27.1,1131,102,0.09912536443148688,46500,26900,-183,-0.006757006240076801,1.2,40093,12347,23.7,10.2,3812,28.8,79.0,7.3,149.4,21.4,14.0,74.8,18.5,0.0,0,"Middle Aged, Unemployed, Uneducated, Low Income"
24870,Oceana,Wyoming,WV,West Virginia,37.7353,-81.54176,America/New_York,41.2,2829,1,0.0003536067892503536,28.5,981,29,0.030462184873949583,58900,35064,2969,0.09250662096899827,1.7,46214,20576,35.4,6.0,2147,22.2,83.0,9.1,110.5,24.1,13.4,96.4,1.4,0.0,0,"Middle Aged, Unemployed, Uneducated, Low Income"
24874,Pineville,Wyoming,WV,West Virginia,37.56241,-81.52745,America/New_York,50.4,3000,153,0.05374077976817703,16.0,995,71,0.07683982683982682,80300,48764,4360,0.09818935231060263,0.0,61488,24122,39.9,0.0,2373,9.7,81.6,14.0,89.8,20.9,25.8,97.5,2.5,0.0,0,"Middle Aged, Unemployed, Uneducated, Low Income"
24901,Lewisburg,Greenbrier,WV,West Virginia,37.84062,-80.46534,America/New_York,42.6,9292,92,0.01,40.4,2798,-58,-0.020308123249299717,167400,47649,1083,0.023257312202035817,3.9,65072,30237,55.1,5.9,7446,10.4,88.7,35.6,92.4,18.6,22.9,92.3,4.0,0.7,3,"Older, Employed, Lower Educated, Middle Income"
24910,Alderson,Greenbrier,WV,West Virginia,37.73709,-80.66095,America/New_York,43.6,5740,332,0.0613905325443787,15.1,1377,38,0.028379387602688575,93300,37113,268,0.007273714208169358,0.9,48248,18188,41.6,2.6,4550,21.5,82.1,14.6,65.3,20.5,15.9,90.6,5.5,0.0,0,"Middle Aged, Unemployed, Uneducated, Low Income"
24954,Marlinton,Pocahontas,WV,West Virginia,38.22328,-80.0431,America/New_York,47.2,3885,85,0.022368421052631583,4.8,1353,28,0.021132075471698115,114900,34731,1768,0.05363589479112945,0.0,50189,23093,55.5,3.0,3196,13.4,83.7,15.8,98.2,17.3,23.6,96.0,0.8,0.0,3,"Older, Employed, Lower Educated, Middle Income"
24963,Peterstown,Monroe,WV,West Virginia,37.43603,-80.76931,America/New_York,45.7,4101,-49,-0.011807228915662651,29.5,1360,-1,-0.0007347538574577517,111300,39656,3925,0.10984859085947776,2.9,51863,23273,54.7,6.9,3236,17.3,84.4,16.4,94.9,20.0,25.2,99.4,0.0,0.0,3,"Older, Employed, Lower Educated, Middle Income"
24970,Ronceverte,Greenbrier,WV,West Virginia,37.73129,-80.47891,America/New_York,40.4,4436,-159,-0.03460282916213275,43.7,1341,13,0.009789156626506023,104800,39260,1682,0.044760232050667946,1.5,59071,25929,56.0,5.0,3406,18.3,82.0,17.3,117.2,22.6,20.3,92.6,1.5,0.0,3,"Older, Employed, Lower Educated, Middle Income"
24986,White Sulphur Springs,Greenbrier,WV,West Virginia,37.90715,-80.19336,America/New_York,48.1,5288,-227,-0.04116047144152312,9.0,1513,-50,-0.03198976327575176,93100,37705,-1011,-0.026113234838309744,0.3,42999,19109,46.6,3.4000000000000004,4347,18.0,83.2,9.2,78.6,16.7,22.0,88.3,7.7,0.3,0,"Middle Aged, Unemployed, Uneducated, Low Income"
25003,Alum Creek,Lincoln,WV,West Virginia,38.25115,-81.78618,America/New_York,36.0,2783,-33,-0.01171875,30.0,751,-63,-0.0773955773955774,109800,36311,433,0.01206867718378951,1.9,58072,23801,56.5,11.2,2073,13.9,84.8,19.8,91.5,25.5,13.0,95.4,0.9,1.8,4,"Younger, Employed, Lower Educated, Low Income"
25015,Belle,Kanawha,WV,West Virginia,38.24257,-81.50233,America/New_York,45.0,4228,-272,-0.06044444444444445,70.5,1238,-80,-0.060698027314112286,89200,43199,945,0.022364746532872626,0.3,53400,22143,50.1,5.6000000000000005,3454,9.5,82.6,15.3,78.3,18.3,19.9,94.6,3.0,0.1,3,"Older, Employed, Lower Educated, Middle Income"
25045,Clendenin,Kanawha,WV,West Virginia,38.44508,-81.31869,America/New_York,40.9,5026,-38,-0.007503949447077409,15.5,1549,-116,-0.06966966966966967,94400,40000,270,0.006795872136924239,2.0,49979,20089,46.8,5.800000000000002,3831,14.9,81.1,11.2,100.9,23.7,19.5,98.1,0.2,0.0,0,"Middle Aged, Unemployed, Uneducated, Low Income"
25053,Danville,Boone,WV,West Virginia,38.04426,-81.87306,America/New_York,37.3,4601,46,0.010098792535675085,35.3,1045,-32,-0.029712163416898793,83400,36085,1013,0.028883439781021893,0.4,46982,17587,40.5,7.000000000000001,3457,21.8,75.0,6.6,85.7,24.6,12.2,98.3,0.2,0.5,0,"Middle Aged, Unemployed, Uneducated, Low Income"
25064,Dunbar,Kanawha,WV,West Virginia,38.37629,-81.74852,America/New_York,44.6,9393,34,0.003632866759269153,560.7,2671,-27,-0.01000741289844329,90400,42580,111,0.002613671148367044,0.8,52470,25784,56.3,5.1,7818,10.9,92.4,24.5,86.9,15.8,21.7,73.4,19.0,1.3,3,"Older, Employed, Lower Educated, Middle Income"
25071,Elkview,Kanawha,WV,West Virginia,38.47317,-81.46821,America/New_York,46.5,11756,-591,-0.04786587835101644,43.7,3660,-239,-0.061297768658630424,118900,47959,-749,-0.015377350743204404,2.1,63361,26535,51.6,3.4000000000000004,9304,8.0,81.6,17.5,99.7,19.7,20.3,96.5,0.0,1.8,3,"Older, Employed, Lower Educated, Middle Income"
25123,Leon,Mason,WV,West Virginia,38.73474,-81.90386,America/New_York,51.5,3208,-151,-0.04495385531408157,11.5,1091,-16,-0.014453477868112012,76800,44260,3288,0.08024992677926389,0.5,53379,23971,42.8,0.0,2758,8.7,84.9,11.0,109.4,14.0,22.1,98.0,0.0,0.0,0,"Middle Aged, Unemployed, Uneducated, Low Income"
25130,Madison,Boone,WV,West Virginia,38.04152,-81.76325,America/New_York,46.6,3338,-48,-0.014176018901358537,65.6,1046,-14,-0.01320754716981132,108000,40424,1443,0.03701803442702855,3.0,57042,25843,46.2,4.2,2689,11.5,86.4,14.4,109.0,19.4,22.7,95.7,4.1,0.0,0,"Middle Aged, Unemployed, Uneducated, Low Income"
25143,Nitro,Kanawha,WV,West Virginia,38.41872,-81.82151999999998,America/New_York,43.7,8237,182,0.022594661700806956,377.8,2449,-89,-0.035066981875492516,102000,44020,-3713,-0.07778685605346405,1.6,65154,29076,59.5,3.7,6500,9.1,87.5,20.7,85.0,21.1,18.7,90.6,5.9,0.0,3,"Older, Employed, Lower Educated, Middle Income"
25159,Poca,Putnam,WV,West Virginia,38.50347,-81.78238,America/New_York,44.5,5433,-148,-0.026518545063608668,56.6,1603,-135,-0.07767548906789414,125400,52105,1465,0.02892969984202212,0.1,57627,22211,53.6,9.8,4122,18.0,82.8,19.5,89.0,24.0,17.5,97.9,0.8,0.0,3,"Older, Employed, Lower Educated, Middle Income"
25177,Saint Albans,Kanawha,WV,West Virginia,38.36748,-81.84696,America/New_York,43.9,23915,-256,-0.010591204335774276,309.5,7540,-89,-0.011666011272774937,99700,46102,-19,-0.0004119598447561848,2.0,58086,24721,59.8,2.9000000000000004,18844,14.2,88.5,19.1,92.6,21.0,18.0,95.5,2.4,0.4,3,"Older, Employed, Lower Educated, Middle Income"
25213,Winfield,Putnam,WV,West Virginia,38.5076,-81.91662,America/New_York,42.8,6111,66,0.010918114143920596,59.4,2022,82,0.042268041237113405,158400,65375,6203,0.10482998715608734,8.1,94114,36795,61.0,2.6,4689,5.3,93.6,26.1,106.7,22.8,14.9,95.2,1.2,0.6,2,"Middle Aged, Employed, Educated, Higher Income"
25248,Kenna,Jackson,WV,West Virginia,38.64096,-81.61334000000002,America/New_York,41.1,3161,374,0.134194474345174,16.2,1077,115,0.11954261954261955,141300,56411,13848,0.32535300613208656,4.0,68813,27346,47.6,0.0,2464,2.0,81.9,12.1,89.3,21.8,22.3,93.6,0.0,0.3,3,"Older, Employed, Lower Educated, Middle Income"
25271,Ripley,Jackson,WV,West Virginia,38.78552,-81.68576999999998,America/New_York,42.0,9678,-54,-0.005548705302096177,36.8,2540,-213,-0.07737014166363966,121900,36238,-2865,-0.07326803570058563,3.1,55976,23464,51.7,4.2,7399,12.9,87.5,18.3,92.8,23.5,14.7,99.2,0.2,0.4,0,"Middle Aged, Unemployed, Uneducated, Low Income"
25276,Spencer,Roane,WV,West Virginia,38.78676,-81.33124000000002,America/New_York,44.9,7848,-56,-0.00708502024291498,17.6,2344,16,0.006872852233676976,87700,33581,2573,0.08297858617131063,0.6,47281,19604,45.7,4.0,6132,16.3,78.6,12.8,99.6,21.9,18.6,97.6,0.1,0.2,0,"Middle Aged, Unemployed, Uneducated, Low Income"
25302,Charleston,Kanawha,WV,West Virginia,38.39112,-81.59668,America/New_York,43.1,14324,95,0.006676505727739124,476.4,4123,-38,-0.0091324200913242,109400,44328,-822,-0.018205980066445183,2.5,57019,26585,60.9,9.5,11476,11.9,91.6,30.0,99.3,19.4,17.4,78.4,14.0,0.4,3,"Older, Employed, Lower Educated, Middle Income"
25303,South Charleston,Kanawha,WV,West Virginia,38.35987,-81.6859,America/New_York,40.3,7156,-257,-0.034668825037096986,779.7,2247,-122,-0.05149852258336851,137100,52798,1162,0.02250367960337749,2.4,64688,29992,64.4,6.0,5504,8.8,93.6,43.4,79.2,22.7,15.4,88.2,6.9,0.9,2,"Middle Aged, Employed, Educated, Higher Income"
25304,Charleston,Kanawha,WV,West Virginia,38.3056,-81.59319,America/New_York,42.8,8307,-14,-0.001682490085326283,331.2,2106,-66,-0.03038674033149171,188000,54665,1540,0.02898823529411765,9.1,92942,39691,57.3,6.4,6775,11.4,94.0,42.8,88.3,14.4,22.5,82.7,11.1,3.6,2,"Middle Aged, Employed, Educated, Higher Income"
25306,Charleston,Kanawha,WV,West Virginia,38.3111,-81.49032,America/New_York,42.6,6961,449,0.06894963144963145,66.5,1909,16,0.008452192287374538,79800,45685,3110,0.073047563123899,0.4,53857,23102,61.6,3.0,5446,15.3,87.3,11.0,103.2,21.6,18.7,87.9,7.8,0.5,3,"Older, Employed, Lower Educated, Middle Income"
25309,South Charleston,Kanawha,WV,West Virginia,38.30847,-81.75053,America/New_York,43.2,13942,381,0.028095273209940267,146.0,4345,41,0.009526022304832713,116800,49460,5804,0.1329485065054059,5.7,70852,29623,54.8,4.7,11001,13.1,88.6,27.8,88.4,20.7,19.7,87.7,3.9,1.2,3,"Older, Employed, Lower Educated, Middle Income"
25311,Charleston,Kanawha,WV,West Virginia,38.36314,-81.54924,America/New_York,39.9,10818,362,0.0346212700841622,147.8,2436,-43,-0.01734570391286809,105700,40175,-955,-0.023219061512278143,6.1,63609,30386,60.9,7.1,8700,14.8,87.9,28.3,92.9,18.0,14.5,77.7,14.8,2.1,4,"Younger, Employed, Lower Educated, Low Income"
25312,Charleston,Kanawha,WV,West Virginia,38.45242,-81.65736,America/New_York,41.8,15025,-228,-0.014947879105749691,81.6,4584,-34,-0.007362494586401038,95300,37723,-512,-0.01339087223747875,0.3,48039,20873,53.8,5.7,11767,16.2,86.3,12.8,93.8,21.6,18.4,87.1,11.3,0.0,3,"Older, Employed, Lower Educated, Middle Income"
25313,Charleston,Kanawha,WV,West Virginia,38.41679,-81.75644,America/New_York,37.4,12233,-62,-0.0050427002846685645,249.3,3584,-4,-0.0011148272017837237,142100,59518,-123,-0.0020623396656662364,4.5,76195,31612,63.4,10.8,9325,10.9,90.8,31.2,96.2,23.7,15.4,87.5,8.2,2.0,2,"Middle Aged, Employed, Educated, Higher Income"
25314,Charleston,Kanawha,WV,West Virginia,38.30583,-81.65057,America/New_York,44.0,14253,-1463,-0.09308984474420973,223.2,4789,-171,-0.034475806451612905,215200,82523,3578,0.04532269301412376,14.0,113948,47611,64.2,4.0,10754,7.6,96.3,59.1,96.4,24.2,19.9,92.0,3.1,2.8,1,"Middle Aged, Highly Employed, Highly Educated, High Income"
25315,Charleston,Kanawha,WV,West Virginia,38.2305,-81.56808000000002,America/New_York,46.1,3392,217,0.06834645669291338,168.4,969,97,0.11123853211009174,72700,38664,1723,0.04664194255705043,0.2,46533,20723,49.5,4.6,2784,12.7,82.7,10.9,91.1,17.7,23.5,93.6,4.1,0.0,0,"Middle Aged, Unemployed, Uneducated, Low Income"
25320,Charleston,Kanawha,WV,West Virginia,38.53927,-81.63074,America/New_York,43.7,6744,357,0.055894786284640674,33.6,2095,54,0.02645761881430671,100600,47127,4282,0.0999416501342047,4.0,62144,24761,55.8,1.7000000000000002,5236,10.3,80.6,11.6,101.0,22.4,16.3,99.5,0.0,0.2,3,"Older, Employed, Lower Educated, Middle Income"
25504,Barboursville,Cabell,WV,West Virginia,38.37332,-82.26406999999998,America/New_York,39.5,12840,-36,-0.0027958993476234857,98.6,3607,80,0.022682166146867026,143500,43617,-703,-0.015861913357400722,4.1,65254,28156,53.1,3.2,10239,10.1,87.8,26.5,108.9,20.1,17.9,95.7,2.1,0.6,3,"Older, Employed, Lower Educated, Middle Income"
