ZIP,CITY,STATEID,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,CLUSTER
24701,Bluefield,WV,Italian Restaurant,Antique Shop,Assisted Living,Restaurant,New American Restaurant,Pet Service,Church,Fast Food Restaurant,Elementary School,Dive Bar,7
24740,Princeton,WV,Post Office,Courthouse,Fast Food Restaurant,Middle School,Big Box Store,Lawyer,Coffee Shop,Office,Pharmacy,Costume Shop,6
24747,Rock,WV,Miscellaneous Shop,Grocery Store,Gas Station,Restaurant,Automotive Shop,Supermarket,Breakfast Spot,Discount Store,Campground,Fast Food Restaurant,3
24801,Welch,WV,Post Office,Courthouse,Movie Theater,Financial or Legal Service,Library,Bank,Park,City Hall,Pharmacy,Costume Shop,6
24870,Oceana,WV,Church,Mobile Phone Shop,Convenience Store,Cemetery,Pharmacy,Doctor\\'s Office,Sculpture Garden,Driving School,Discount Store,Distillery,7
24874,Pineville,WV,Discount Store,Church,Courthouse,Campground,Fast Food Restaurant,Convention Center,Distillery,Dive Bar,Doctor\\'s Office,Donut Shop,7
24901,Lewisburg,WV,Post Office,Pub,Coffee Shop,Boutique,Building,Gourmet Shop,City Hall,Plaza,Event Space,Diner,0
24910,Alderson,WV,Gas Station,History Museum,Train Station,Event Space,Discount Store,Church,Convention Center,Diner,Distillery,Distribution Center,3
24954,Marlinton,WV,Office,Grocery Store,Auto Dealership,Bed & Breakfast,Music Venue,Diner,Historic Site,Hardware Store,Café,Eye Doctor,0
24963,Peterstown,WV,Post Office,Food Truck,Gas Station,Discount Store,Dentist\\'s Office,Casino,Diner,Building,Emergency Room,Elementary School,3
24970,Ronceverte,WV,Gas Station,Hardware Store,Post Office,Pharmacy,Supermarket,Bank,Thrift / Vintage Store,Convenience Store,Donut Shop,Diner,3
24986,White Sulphur Springs,WV,Gas Station,Automotive Shop,Bed & Breakfast,Liquor Store,Pizza Place,Convention Center,Building,Coworking Space,Electronics Store,Distribution Center,3
25003,Alum Creek,WV,Post Office,Golf Course,Church,Dentist\\'s Office,Restaurant,Bakery,Gas Station,Hotel,Convenience Store,Convention Center,7
25015,Belle,WV,Post Office,Town Hall,Fast Food Restaurant,Elementary School,Fire Station,Supermarket,Factory,Gas Station,Office,Costume Shop,3
25045,Clendenin,WV,Financial or Legal Service,Church,Gas Station,Diner,Bar,Discount Store,Pharmacy,Donut Shop,Dessert Shop,Distillery,7
25053,Danville,WV,Gas Station,Comfort Food Restaurant,Fried Chicken Joint,Financial or Legal Service,Bank,Pharmacy,Outdoors & Recreation,Doctor\\'s Office,Diner,Discount Store,3
25064,Dunbar,WV,Post Office,Automotive Shop,Convenience Store,Sandwich Place,Mexican Restaurant,Bank,Fast Food Restaurant,Hotel,Gymnastics Gym,Donut Shop,0
25071,Elkview,WV,Fast Food Restaurant,Salon / Barbershop,Middle School,Cemetery,Financial or Legal Service,Dentist\\'s Office,Bank,Supermarket,Yoga Studio,Donut Shop,0
